CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
630013,AJD,مقهى زهرة البستان القاهرة - مصر,1,748,100.0
629892,AJA,الشاعر زكي مبارك وانتقاده أدباء عصره,1,1449,100.0
629627,AJA,"إعلامي ""يبشر"" بسقوط أنظمة عربية",2,1520,100.0
629615,AJA,قضية رقم 23 والاتهام بالعمالة,1,1499,100.0
629587,AJA,أولاد حارتنا .. إسقاط ديني أم سياسي؟,1,1541,100.0
629422,AJA,أردوغان إلى ولاية جديدة,1,1529,100.0
629380,AJA,متاحف فرنسا تستخدم الأرقام العربية,3,1506,100.0
629333,AJA,هل أباحت إسبانيا معاشرة الحيوانات جنسيا؟,2,1519,100.0
629301,AJA,اتفاقيات السلام بين العرب وإسرائيل,1,1501,100.0
629229,AJA,إبراهيم عبد المجيد.. الإسكندرية أين؟,1,1536,100.0
629136,AJA,الوديعة,1,2825,100.0
628471,AJA,عرب كوبا وتحديات الهوية,1,2889,100.0
627943,AJA,طاجيكستان,1,3914,100.0
627889,AJA,سوريا.. الجرح الغائر في جسد الأمة,1,2863,100.0
627873,AJA,غزوة بدر.. فرقان ونصر وعبر,1,5402,100.0
630099,AJA,الإباضية.. جذور قديمة وحضور معاصر,4,3007,99.9916860658464
636901,AJA,محاربة الفساد وسداد الديون,3,2847,99.9882917691137
765603,AJA,في حضرة القرآن,2,3264,99.984681372549
843748,AJA,برويز مشرف.. قصة صعود جنرال باكستاني,4,1589,99.9842668344871
657895,AJA,وطن عربي.. بلا قمر مضيء,2,3032,99.9835092348285
